name,league,primary,secondary,tertiary,quaternary,division,location,mascot,sportslogos_name,logo,throwback_logo
Northern Illinois Huskies,ncaa,#BA0C2F,#8A8D8F,#000000,NA,MAC,Northern Illinois,Huskies,Northern Illinois Huskies,http://content.sportslogos.net/logos/33/785/thumbs/2886.gif,
Northern Kentucky Norse,ncaa,#FFC72C,#000000,NA,NA,Horizon,Northern Kentucky,Norse,Northern Kentucky Norse,http://content.sportslogos.net/logos/33/5047/thumbs/504799312016.gif,
Northwestern Wildcats,ncaa,#4E2A84,#FFFFFF,NA,NA,Big 10,Northwestern,Wildcats,Northwestern Wildcats,http://content.sportslogos.net/logos/33/787/thumbs/78733582012.gif,
Notre Dame Fighting Irish,ncaa,#0C2340,#C99700,#AE9142,#00843D,ACC,Notre Dame,Fighting Irish,Notre Dame Fighting Irish,http://content.sportslogos.net/logos/33/789/thumbs/h4taj4rqfe7eigc0f2llj59xx.gif,
Oakland Golden Grizzlies,ncaa,#B59A57,#000000,NA,NA,Horizon,Oakland,Golden Grizzlies,Oakland Golden Grizzlies,http://content.sportslogos.net/logos/33/790/thumbs/79046172012.gif,
Ohio Bobcats,ncaa,#00694E,#CDA077,NA,NA,MAC,Ohio,Bobcats,Ohio Bobcats,http://content.sportslogos.net/logos/33/792/thumbs/4688.gif,https://content.sportslogos.net/logos/33/792/thumbs/79263711958.gif
Ohio State,ncaa,#BB0000,#666666,NA,NA,Big 10,Ohio State,NA,Ohio State Buckeyes,http://content.sportslogos.net/logos/33/791/thumbs/79176452013.gif,https://content.sportslogos.net/logos/33/791/thumbs/ohb8htmbd146mf40u3y2.gif
Oklahoma Sooners,ncaa,#841617,#FDF9D8,NA,NA,Big 12,Oklahoma,Sooners,Oklahoma Sooners,http://content.sportslogos.net/logos/33/793/thumbs/f9hclkzyftlynvgb1wgf.gif,
Oklahoma State,ncaa,#FF7300,#000000,#FF9900,#BEBEBE,Big 12,Oklahoma State,NA,Oklahoma State Cowboys,http://content.sportslogos.net/logos/33/794/thumbs/79478612015.gif,
Old Dominion Monarchs,ncaa,#003057,#92C1E9,NA,NA,C-USA,Old Dominion,Monarchs,Old Dominion Monarchs,http://content.sportslogos.net/logos/33/795/thumbs/uz5zw5f3gfhh8o9wbeco.gif,
Ole Miss,ncaa,#CE1126,#14213D,#FFFFFF,NA,SEC,Ole Miss,Miss,Mississippi Rebels,http://content.sportslogos.net/logos/32/754/thumbs/75419761996.gif,
Omaha,ncaa,#000000,#D71920,#636568,NA,Summit,Omaha,NA,Nebraska-Omaha Mavericks,http://content.sportslogos.net/logos/33/5049/thumbs/504963202011.gif,
Oral Roberts Golden Eagles,ncaa,#002F60,#C5B783,#A28E2A,NA,Summit,Oral Roberts,Golden Eagles,Oral Roberts Golden Eagles,http://content.sportslogos.net/logos/33/796/thumbs/79690362017.gif,
Oregon Ducks,ncaa,#154733,#FEE123,NA,NA,Pac 12,Oregon,Ducks,Oregon Ducks,http://content.sportslogos.net/logos/33/797/thumbs/by8dfvb6j89hs5nrvlb1ibx5e.gif,https://content.sportslogos.net/logos/33/797/thumbs/ehrrx1qjof2owakh79jq.gif
Oregon State Beavers,ncaa,#DC4405,#000000,#FFFFFF,NA,Pac 12,Oregon State,Beavers,Oregon State Beavers,http://content.sportslogos.net/logos/33/798/thumbs/79813572013.gif,https://content.sportslogos.net/logos/33/798/thumbs/79836732006.gif
Pacific,ncaa,#E35205,#231F20,#D86018,#949A90,WCC,Pacific,NA,Pacific Tigers,http://content.sportslogos.net/logos/33/799/thumbs/79969051999.gif,
Penn,ncaa,#990000,#011F5B,NA,NA,Ivy,Penn,NA,Penn Quakers,http://content.sportslogos.net/logos/33/800/thumbs/wt412stspwyymg88xe74zav07.gif,
Penn State,ncaa,#093162,#FFFFFF,NA,NA,Big 10,Penn State,NA,Penn State Nittany Lions,http://content.sportslogos.net/logos/33/801/thumbs/6g3sx3a2zxgt5z2vb10g.gif,https://content.sportslogos.net/logos/33/801/thumbs/1k9prruij590izix314f.gif
Pepperdine Waves,ncaa,#00205C,#EE7624,NA,NA,WCC,Pepperdine,Waves,Pepperdine Waves,http://content.sportslogos.net/logos/33/802/thumbs/80222642010.gif,
Pittsburgh Panthers,ncaa,#1C2957,#CDB87D,NA,NA,ACC,Pittsburgh,Panthers,Pittsburgh Panthers,http://content.sportslogos.net/logos/33/803/thumbs/80318662016.gif,
Portland Pilots,ncaa,#1E1656,#5E6A71,NA,NA,WCC,Portland,Pilots,Portland Pilots,http://content.sportslogos.net/logos/33/804/thumbs/80428142014.gif,
Portland State Vikings,ncaa,#154734,#FFFFFF,#373A36,#2C2A29,Big Sky,Portland State,Vikings,Portland State Vikings,http://content.sportslogos.net/logos/33/805/thumbs/80548492016.gif,
Princeton Tigers,ncaa,#FF671F,#000000,NA,NA,Ivy,Princeton,Tigers,Princeton Tigers,http://content.sportslogos.net/logos/33/807/thumbs/4g0k10eeht09gbiaklzg49ah9.gif,
Providence,ncaa,#000000,#8A8D8F,#FFFFFF,NA,Big East,Providence,NA,Providence Friars,http://content.sportslogos.net/logos/33/808/thumbs/2etorchfbjqbvgsoiied0rqkf.gif,
Purdue Boilermakers,ncaa,#CEB888,#000000,#9D968D,#373A36,Big 10,Purdue,Boilermakers,Purdue Boilermakers,http://content.sportslogos.net/logos/33/809/thumbs/80966442012.gif,
Purdue Fort Wayne Mastodons,ncaa,#002F6C,#000000,#63666A,#97999B,Summit,Purdue Fort Wayne,Mastodons,Purdue Fort Wayne Mastodons,http://content.sportslogos.net/logos/33/6619/thumbs/661929622018.gif,
Rhode Island Rams,ncaa,#68ABE8,#002147,NA,NA,A-10,Rhode,Island Rams,Rhode Island Rams,http://content.sportslogos.net/logos/33/812/thumbs/81261122010.gif,
Rice Owls,ncaa,#00205B,#C1C6C8,NA,NA,C-USA,Rice,Owls,Rice Owls,http://content.sportslogos.net/logos/33/813/thumbs/81337422010.gif,
Richmond Spiders,ncaa,#000066,#990000,NA,NA,A-10,Richmond,Spiders,Richmond Spiders,http://content.sportslogos.net/logos/33/814/thumbs/2588.gif,
Rider Broncs,ncaa,#981E32,#6C6F70,NA,NA,MAAC,Rider,Broncs,Rider Broncs,http://content.sportslogos.net/logos/33/815/thumbs/81562592007.gif,
Rutgers Scarlet Knights,ncaa,#CC0033,#5F6A72,#000000,NA,Big 10,Rutgers,Scarlet Knights,Rutgers Scarlet Knights,http://content.sportslogos.net/logos/33/817/thumbs/j9mxrf2bfzasqkq3by70.gif,
Sacramento State,ncaa,#043927,#C4B581,NA,NA,Big Sky,Sacramento State,NA,Sacramento State Hornets,http://content.sportslogos.net/logos/30/629/thumbs/okyaz26kurakymvf0hh42hijj.gif,
Saint Joseph's Hawks,ncaa,#9E1B32,#6C6F70,NA,NA,A-10,Saint Joseph's,Hawks,St. Joseph's Hawks,http://content.sportslogos.net/logos/34/851/thumbs/2604.gif,
Saint Louis Billikens,ncaa,#003DA5,#C8C9C7,NA,NA,A-10,Saint Louis,Billikens,Saint Louis Billikens,http://content.sportslogos.net/logos/34/822/thumbs/82292312015.gif,
Saint Mary's (CA),ncaa,#D80024,#06315B,NA,NA,WCC,Saint Mary's,(CA),Saint Marys Gaels,http://content.sportslogos.net/logos/34/852/thumbs/mfhe5ysvfgzgt0wxt8hcz89pv.gif,
Saint Peter's Peacocks,ncaa,#003C71,#0072CE,#A59C94,#000000,MAAC,Saint Peter's,Peacocks,Saint Peter's Peacocks,http://content.sportslogos.net/logos/34/853/thumbs/85340372012.gif,
SaintBonaventure,ncaa,#54261A,#FDB726,#BDB6B0,NA,A-10,SaintBonaventure,NA,St. Bonaventure Bonnies,http://content.sportslogos.net/logos/34/848/thumbs/2637.gif,
SaintJohn's (NY),ncaa,#BA0C2F,#041C2C,#A7A8AA,NA,Big East,SaintJohn's,(NY),St. John's Red Storm,http://content.sportslogos.net/logos/34/850/thumbs/rutp2cuzhqn5qyjhw790kibvf.gif,
San Diego State Aztecs,ncaa,#A6192E,#000000,#FFFFFF,NA,MWC,San Diego State,Aztecs,San Diego State Aztecs,http://content.sportslogos.net/logos/34/826/thumbs/82676662013.gif,
San Diego Toreros,ncaa,#002868,#84BCE8,#207BC1,NA,WCC,San Diego,Toreros,San Diego Toreros,http://content.sportslogos.net/logos/34/825/thumbs/smgecw5seeb2a282cs79z64oo.gif,
San Francisco Dons,ncaa,#FDBB30,#00543C,#919194,NA,WCC,San Francisco,Dons,San Francisco Dons,http://content.sportslogos.net/logos/34/827/thumbs/82715532012.gif,
San Jose State Spartans,ncaa,#0055A2,#E5A823,#939597,NA,MWC,San Jose State,Spartans,San Jose State Spartans,http://content.sportslogos.net/logos/34/828/thumbs/2616.gif,
Santa Clara Broncos,ncaa,#862633,#FFFFFF,NA,NA,WCC,Santa Clara,Broncos,Santa Clara Broncos,http://content.sportslogos.net/logos/34/829/thumbs/9bevh7phseg5k885k8ngg09e5.gif,
Seattle U,ncaa,#AA0000,#333333,NA,NA,WAC,Seattle,U,Seattle Redhawks,http://content.sportslogos.net/logos/34/5052/thumbs/505217542008.gif,
Seton Hall Pirates,ncaa,#004488,#A2AAAD,NA,NA,Big East,Seton Hall,Pirates,Seton Hall Pirates,http://content.sportslogos.net/logos/34/831/thumbs/83191832009.gif,
Siena,ncaa,#FFC72C,#C8102E,#006747,#693F23,MAAC,Siena,NA,Siena Saints,http://content.sportslogos.net/logos/34/832/thumbs/3336kgxl1jzfvrzh423fldmyo.gif,
South Alabama Jaguars,ncaa,#00205B,#BF0D3E,NA,NA,Sunbelt,South Alabama,Jaguars,South Alabama Jaguars,http://content.sportslogos.net/logos/34/833/thumbs/f0escusps8d57q2gf0bpy1otm.gif,
South Carolina Gamecocks,ncaa,#73000A,#000000,NA,NA,SEC,South Carolina,Gamecocks,South Carolina Gamecocks,http://content.sportslogos.net/logos/34/834/thumbs/5gje9m4b1shmcd442rkpxkeb8.gif,
South Dakota Coyotes,ncaa,#AD0000,#B4B4B4,#000000,NA,Summit,South Dakota,Coyotes,South Dakota Coyotes,http://content.sportslogos.net/logos/34/5037/thumbs/503737322011.gif,
South Dakota State Jackrabbits,ncaa,#0033A0,#FFD100,NA,NA,Summit,South Dakota State,Jackrabbits,South Dakota State Jackrabbits,http://content.sportslogos.net/logos/34/836/thumbs/rx5rkctzeni2o4nxdsl4ftgw9.gif,
South Florida Bulls,ncaa,#006747,#CFC493,NA,NA,AAC,South Florida,Bulls,South Florida Bulls,http://content.sportslogos.net/logos/34/837/thumbs/l3qg5gf3wu3cdrgvpee4.gif,
Southern California Trojans,ncaa,#FFC72C,#990000,#FFC72C,NA,Pac 12,USC,Trojans,Southern California Trojans,http://content.sportslogos.net/logos/34/840/thumbs/84098311993.gif,https://content.sportslogos.net/logos/34/840/thumbs/84018801972.gif
Southern Illinois,ncaa,#720000,#000000,NA,NA,MVC,Southern Illinois,NA,Southern Illinois Salukis,http://content.sportslogos.net/logos/34/841/thumbs/84134702019.gif,
Southern Mississippi Golden Eagles,ncaa,#000000,#FFAB00,NA,NA,C-USA,Southern Mississippi,Golden Eagles,Southern Miss Golden Eagles,http://content.sportslogos.net/logos/34/843/thumbs/84360242015.gif,
Southern Utah Thunderbirds,ncaa,#000000,#FFFFFF,NA,NA,Big Sky,Southern Utah,Thunderbirds,Southern Utah Thunderbirds,http://content.sportslogos.net/logos/34/844/thumbs/2636.gif,
Stanford Cardinal,ncaa,#8C1515,#FFFFFF,#4D4F53,#2E2D29,Pac 12,Stanford,Cardinal,Stanford Cardinal,http://content.sportslogos.net/logos/34/854/thumbs/85448032014.gif,
Stetson Hatters,ncaa,#006747,#B58150,#9E652E,#000000,A-Sun,Stetson,Hatters,Stetson Hatters,http://content.sportslogos.net/logos/34/857/thumbs/85710302018.gif,
Stony Brook Seawolves,ncaa,#990000,#16243E,#828282,NA,Am. East,Stony Brook,Seawolves,Stony Brook Seawolves,http://content.sportslogos.net/logos/34/858/thumbs/yte6uhknhdffvqnowffl62jy1.gif,
Syracuse Orange,ncaa,#D44500,#3E3D3C,#6F777D,#ADB3B8,ACC,Syracuse,Orange,Syracuse Orange,http://content.sportslogos.net/logos/34/859/thumbs/lhf2fxwjfmysj71nzmqw.gif,
TCU,ncaa,#4D1979,#A3A9AC,#FFFFFF,NA,Big 12,TCU,NA,TCU Horned Frogs,http://content.sportslogos.net/logos/34/868/thumbs/2658.gif,
Temple Owls,ncaa,#9D2235,#FFCD00,#8A8D8F,#C1C6C8,AAC,Temple,Owls,Temple Owls,http://content.sportslogos.net/logos/34/860/thumbs/2648.gif,
Tennessee Volunteers,ncaa,#FF8200,#58595B,#FFFFFF,NA,SEC,Tennessee,Volunteers,Tennessee Volunteers,http://content.sportslogos.net/logos/34/861/thumbs/86166262015.gif,
Texas,ncaa,#BF5700,#333F48,#FFFFFF,NA,Big 12,Texas,NA,Texas Longhorns,http://content.sportslogos.net/logos/34/865/thumbs/5o2wuto6hq2592hhy9e4prm6e.gif,https://content.sportslogos.net/logos/34/865/thumbs/86564770.gif
Texas A&M Aggies,ncaa,#500000,#FFFFFF,NA,NA,SEC,Texas A&M,Aggies,Texas A&M Aggies,http://content.sportslogos.net/logos/34/866/thumbs/86674172007.gif,
Texas State Bobcats,ncaa,#501214,#8D734A,NA,NA,Sunbelt,Texas State,Bobcats,Texas State Bobcats,http://content.sportslogos.net/logos/34/847/thumbs/hfiohfg4thrpxlb9r8o2qkuee.gif,
Texas Tech Red Raiders,ncaa,#CC0000,#000000,#FFFFFF,NA,Big 12,Texas Tech,Red Raiders,Texas Tech Red Raiders,http://content.sportslogos.net/logos/34/870/thumbs/4661.gif,
Toledo Rockets,ncaa,#15397F,#005CB9,#FFDA00,#BEC6C3,MAC,Toledo,Rockets,Toledo Rockets,http://content.sportslogos.net/logos/34/874/thumbs/87490502017.gif,
Tulane Green Wave,ncaa,#006747,#43B02A,#418FDE,#000000,AAC,Tulane,Green Wave,Tulane Green Wave,http://content.sportslogos.net/logos/34/877/thumbs/87736922014.gif,
Tulsa Golden Hurricane,ncaa,#002D72,#C8102E,#C5B783,#F3D54E,AAC,Tulsa,Golden Hurricane,Tulsa Golden Hurricane,http://content.sportslogos.net/logos/34/878/thumbs/2669.gif,
UAB,ncaa,#006341,#CC8A00,#000000,#BF0D3E,C-USA,UAB,NA,UAB Blazers,http://content.sportslogos.net/logos/35/879/thumbs/87915182015.gif,
UC Davis,ncaa,#002855,#B3A369,NA,NA,Big West,UC,Davis,California Davis Aggies,http://content.sportslogos.net/logos/30/1831/thumbs/183182572001.gif,
UC Irvine,ncaa,#0C2340,#FFC72C,NA,NA,Big West,UC,Irvine,California-Irvine Anteaters,http://content.sportslogos.net/logos/30/880/thumbs/88023612014.gif,
UC Riverside,ncaa,#2D6CC0,#003066,#F1AB00,#7A6E67,Big West,UC,Riverside,California Riverside Highlanders,http://content.sportslogos.net/logos/30/881/thumbs/88153882012.gif,
UCLA,ncaa,#2D68C4,#F2A900,#3284BF,#FFE800,Pac 12,UCLA,NA,UCLA Bruins,http://content.sportslogos.net/logos/35/882/thumbs/f14dh4p8ot36v1exxoazhf03a.gif,
UIC,ncaa,#AC1E2D,#041E42,#FACC09,NA,Horizon,UIC,NA,Illinois-Chicago Flames,http://content.sportslogos.net/logos/32/708/thumbs/70899032008.gif,
UMass Lowell,ncaa,#003DA5,#C8102E,NA,NA,Am. East,UMass Lowell,NA,UMass Lowell River Hawks,http://content.sportslogos.net/logos/35/5023/thumbs/502396112010.gif,
UMBC,ncaa,#B18906,#FFC20E,#000000,#ED1C24,Am. East,UMBC,NA,UMBC Retrievers,http://content.sportslogos.net/logos/35/885/thumbs/88553842010.gif,
UMKC,ncaa,#005293,#FECB00,#000000,#DCDDDE,WAC,UMKC,NA,UMKC Kangaroos,http://content.sportslogos.net/logos/35/886/thumbs/88685772008.gif,
UNI,ncaa,#4B116F,#FFCC00,NA,NA,MVC,UNI,NA,Northern Iowa Panthers,http://content.sportslogos.net/logos/33/786/thumbs/78667682015.gif,
UNLV,ncaa,#B10202,#666666,#000000,NA,MWC,UNLV,NA,UNLV Rebels,http://content.sportslogos.net/logos/35/888/thumbs/1g4meeffhnmghxfdv57f.gif,
USC Upstate,ncaa,#00703C,#000000,NA,NA,Big South,USC Upstate,NA,USC Upstate Spartans,http://content.sportslogos.net/logos/35/4948/thumbs/494849312011.gif,
UT Arlington,ncaa,#F58025,#0064B1,NA,NA,Sunbelt,UT,Arlington,Texas-Arlington Mavericks,http://content.sportslogos.net/logos/34/871/thumbs/87190202007.gif,
Utah State Aggies,ncaa,#0F2439,#FFFFFF,#9D968D,#000000,MWC,Utah State,Aggies,Utah State Aggies,http://content.sportslogos.net/logos/35/893/thumbs/fexosti2ekonhhvpjlq0gvyhn.gif,
Utah Utes,ncaa,#CC0000,#808080,#000000,NA,Pac 12,Utah,Utes,Utah Utes,http://content.sportslogos.net/logos/35/892/thumbs/f59mntuxy6z31v0gapgueoyg2.gif,
Utah Valley Wolverines,ncaa,#275D38,#000000,#8E8C89,NA,WAC,Utah Valley,Wolverines,Utah Valley Wolverines,http://content.sportslogos.net/logos/35/2606/thumbs/260642032013.gif,
UTEP,ncaa,#FF8200,#041E42,#B1B3B3,NA,C-USA,UTEP,NA,UTEP Miners,http://content.sportslogos.net/logos/35/889/thumbs/2711.gif,
UTRGV,ncaa,#FFA300,#F05023,#00843D,#0C2340,WAC,UTRGV,NA,UTRGV Vaqueros,http://content.sportslogos.net/logos/35/5639/thumbs/563963612015.gif,
UTSA,ncaa,#F15A22,#0C2340,NA,NA,C-USA,UTSA,NA,Texas-SA Roadrunners,http://content.sportslogos.net/logos/34/890/thumbs/8w7wa2e7efz3h7g9m98ja3idd.gif,
Valparaiso Crusaders,ncaa,#381E0E,#613318,#FFCC00,NA,MVC,Valparaiso,Crusaders,Valparaiso Crusaders,http://content.sportslogos.net/logos/35/894/thumbs/89418392011.gif,
Vanderbilt Commodores,ncaa,#000000,#866D4B,NA,NA,SEC,Vanderbilt,Commodores,Vanderbilt Commodores,http://content.sportslogos.net/logos/35/895/thumbs/oz59klw60uzer5pralxhznrl1.gif,
VCU,ncaa,#FFB300,#000000,NA,NA,A-10,VCU,NA,Virginia Commonwealth Rams,http://content.sportslogos.net/logos/35/899/thumbs/89973792014.gif,
Vermont Catamounts,ncaa,#154734,#8B5B29,#FFC72C,#C6AA76,Am. East,Vermont,Catamounts,Vermont Catamounts,http://content.sportslogos.net/logos/35/896/thumbs/ee4ske40eafxpaaeiexfegdf1.gif,
Villanova Wildcats,ncaa,#00205B,#13B5EA,#8B634B,NA,Big East,Villanova,Wildcats,Villanova Wildcats,http://content.sportslogos.net/logos/35/897/thumbs/a28cvg370vfg03yepefh.gif,
Virginia Cavaliers,ncaa,#232D4B,#F84C1E,#FFFFFF,NA,ACC,Virginia,Cavaliers,Virginia Cavaliers,http://content.sportslogos.net/logos/35/898/thumbs/7135.gif,
Virginia Tech Hokies,ncaa,#630031,#CF4420,NA,NA,ACC,Virginia Tech,Hokies,Virginia Tech Hokies,http://content.sportslogos.net/logos/35/901/thumbs/gabem67h4rb7golayyr7qsole.gif,
Wake Forest Demon Deacons,ncaa,#A67F31,#000000,NA,NA,ACC,Wake Forest,Demon Deacons,Wake Forest Demon Deacons,http://content.sportslogos.net/logos/35/903/thumbs/90361392007.gif,https://content.sportslogos.net/logos/35/903/thumbs/57d0636amp37lzzflha29tyha.gif
Washington Huskies,ncaa,#4B2E83,#B7A57A,#85754D,NA,Pac 12,Washington,Huskies,Washington Huskies,http://content.sportslogos.net/logos/35/904/thumbs/yookgal4j29r36rx6fz3jug2p.gif,
Washington State Cougars,ncaa,#981E32,#5E6A71,NA,NA,Pac 12,Washington State,Cougars,Washington State Cougars,http://content.sportslogos.net/logos/35/905/thumbs/2724.gif,
Weber State Wildcats,ncaa,#A1A1A4,#130C0E,NA,NA,Big Sky,Weber State,Wildcats,Weber State Wildcats,http://content.sportslogos.net/logos/35/906/thumbs/zeuci9b1audg30shh2h2hjsqx.gif,
West Virginia Mountaineers,ncaa,#002855,#EAAA00,NA,NA,Big 12,West Virginia,Mountaineers,West Virginia Mountaineers,http://content.sportslogos.net/logos/35/907/thumbs/90726501980.gif,https://content.sportslogos.net/logos/35/907/thumbs/90772412002.gif
Western Illinois Leathernecks,ncaa,#663399,#FFCC00,NA,NA,Summit,Western Illinois,Leathernecks,Western Illinois Leathernecks,http://content.sportslogos.net/logos/35/908/thumbs/90857672007.gif,
Western Kentucky Hilltoppers,ncaa,#C60C30,#1E1E1E,#A2A4A3,NA,C-USA,Western Kentucky,Hilltoppers,Western Kentucky Hilltoppers,http://content.sportslogos.net/logos/35/909/thumbs/45vahaduw2h85i3nqehdgn7xq.gif,
Western Michigan Broncos,ncaa,#6C4023,#B5A167,#AAA8AA,#000000,MAC,Western Michigan,Broncos,Western Michigan Broncos,http://content.sportslogos.net/logos/35/910/thumbs/91055312016.gif,
Wichita State Shockers,ncaa,#FFCD00,#000000,NA,NA,AAC,Wichita State,Shockers,Wichita State Shockers,http://content.sportslogos.net/logos/35/911/thumbs/91127002010.gif,
Wisconsin,ncaa,#C5050C,#FFFFFF,#9B0000,NA,Big 10,Wisconsin,NA,Wisconsin Badgers,http://content.sportslogos.net/logos/35/914/thumbs/ydl01hfj8hw4p1mbg1zd.gif,
Wright State Raiders,ncaa,#026937,#CEA052,#FFE1A5,#DE6328,Horizon,Wright State,Raiders,Wright State Raiders,http://content.sportslogos.net/logos/35/917/thumbs/gx97sijmyh5sbe3npiigpf3ne.gif,
Wyoming Cowboys,ncaa,#FFC425,#492F24,NA,NA,MWC,Wyoming,Cowboys,Wyoming Cowboys,http://content.sportslogos.net/logos/35/918/thumbs/hub2luegxli9ec81hx65b50hg.gif,
Xavier Musketeers,ncaa,#0C2340,#9EA2A2,#0099CC,NA,Big East,Xavier,Musketeers,Xavier Musketeers,http://content.sportslogos.net/logos/35/919/thumbs/xgodx5ewp41q2fp38jsy.gif,
Yale Bulldogs,ncaa,#00356B,#FFFFFF,NA,NA,Ivy,Yale,Bulldogs,Yale Bulldogs,http://content.sportslogos.net/logos/35/920/thumbs/92040811998.gif,
Youngstown State Penguins,ncaa,#C8102E,#F3D54E,NA,NA,Horizon,Youngstown State,Penguins,Youngstown State Penguins,http://content.sportslogos.net/logos/35/921/thumbs/92174472006.gif,
Army,ncaa,#D4BF91,black,NA,NA,NA,Army,NA,NA,https://content.sportslogos.net/logos/30/609/thumbs/60961542015.gif,
Howard,ncaa,#003A63,#E51937,NA,NA,NA,Howard,NA,NA,https://content.sportslogos.net/logos/31/701/thumbs/70140892015.gif,
Connecticut,ncaa,#000E2F,#FFFFFF,NA,NA,NA,UConn,NA,NA,https://content.sportslogos.net/logos/35/884/thumbs/88464902013.gif,
Troy,ncaa,#8A2432,#B3B5B8,NA,NA,NA,Troy,NA,NA,https://content.sportslogos.net/logos/34/876/thumbs/87610792016.gif,
Southern Methodist University,ncaa,#0033A0,#C8102E,NA,NA,NA,SMU,NA,NA,https://content.sportslogos.net/logos/34/842/thumbs/84293122012.gif,
Univeristy of Louisiana Monroe,ncaa,#840029,#FDB913,NA,NA,NA,UL Monroe,NA,NA,https://content.sportslogos.net/logos/32/733/thumbs/73317772017.gif,
Univeristy of Southern Mississippi,ncaa,black,#FFAB00,NA,NA,NA,Southern Miss,NA,NA,https://content.sportslogos.net/logos/34/843/thumbs/84312622015.gif,
Univeristy of Central Florida,ncaa,#BA9B37,black,NA,NA,NA,UCF,NA,NA,https://content.sportslogos.net/logos/30/635/thumbs/63548652017.gif,
College of William & Mary,ncaa,#115740,#F0B323,NA,NA,NA,William & Mary,NA,NA,https://content.sportslogos.net/logos/35/912/thumbs/91255812022.gif,
University of Hawaii,ncaa,#024731,#C8C8C8,NA,NA,NA,Hawai'i,NA,NA,https://content.sportslogos.net/logos/31/696/thumbs/2494.gif,https://content.sportslogos.net/logos/31/696/thumbs/xxge4hqatueommearg7x.gif
James Madison University,ncaa,#450084,#CBB677,NA,NA,NA,James Madison,NA,NA,https://content.sportslogos.net/logos/32/717/thumbs/71751492017.gif,https://content.sportslogos.net/logos/32/717/thumbs/71767131986.gif
